"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Gran Vía 72-74","","Gran Vía 72-74/Plaza España","Madrid","28013","","Andamio","","","","","153,993.00 €","125,000.00 €","17,840.00 €","261,354.00 €","74,624.00 €","B","25.04.2014","13.06.2019","Emplazamiento introducido","50%","50%","50%","01.01.2021","30.06.2021","Ramon, Silvia","09.07.2019 Ramon, Silvia (Dev Note): This site is a proactive approach as there's any forecast to do works in the façade. I contact this sites twice a year, next contact forecasted for november","0.000000","0.000000"
"Gran Vía 748","","Gran Via 748","Barcelona","08008","","Andamio","","","","","71,500.00 €","49,000.00 €","22,500.00 €","46,475.00 €","34,595.00 €","","23.02.2007","05.07.2007","Contrato firmado","","","","01.10.2007","31.01.2008","Morata, Rosi","","0.000000","0.000000"
"Gran Vía 76 ","","Gran Vía 76 ","Madrid","28013","Gran Vía 76 ","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","07.02.2019","16.07.2019","Emplazamiento introducido","50%","50%","50%","01.02.2020","31.12.2020","Ramon, Silvia","15.07.2019 Ramon, Silvia (Dev Note): The Conserge informs me that he’s collecting business cards of all of us. He told me that if a restoration is planned it will be at long term. He was not willing to give me any more infos. ","0.000000","0.000000"
"Gran Via 761 / Glories","","Gran Via 761 / Glories","Barcelona","08001","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","100,837.52 €","85,000.00 €","8,823.52 €","46,388.99 €","15,895.45 €","B","22.02.2018","09.05.2019","Negociaciones interrumpidas","50%","50%","100%","01.07.2019","30.11.2019","Ramon, Silvia","09.05.2019 Ramon, Silvia (Email): We reject the site","0.000000","0.000000"
"Gran Via 765","","Gran Via 765 / Plaza Glorias","Barcelona","08013","","Andamio","","","","","85,000.00 €","70,000.00 €","15,000.00 €","55,250.00 €","45,451.00 €","C","18.06.2010","10.09.2010","Contrato firmado","100%","","","01.02.2011","31.08.2011","Ramon, Silvia","","41.401753","2.184385"
"Gran Via 769","","Gran Via 769 / Glories","Barcelona","08010","","Andamio","","","","","101,860.23 €","80,000.00 €","10,588.23 €","117,428.70 €","70,133.70 €","C","19.02.2013","13.05.2013","Contrato firmado","100%","","","01.01.2014","28.02.2014","Ramon, Silvia","","41.402136","2.184728"
"Gran Via 769 - 2014","","Gran Via 769 - 2014","Barcelona","08001","","Andamio","","","","","130,000.00 €","110,000.00 €","20,000.00 €","199,500.00 €","77,915.00 €","C","11.11.2014","07.01.2015","Perdido ante la competencia","50%","50%","100%","01.11.2014","30.11.2015","Ramon, Silvia","","0.000000","0.000000"
"Gran Via 78","","Gran Via 78","Madrid","28001","","Andamio","","","","","128,875.71 €","110,000.00 €","11,764.71 €","209,733.01 €","94,337.30 €","C","02.03.2016","29.03.2016","Contrato firmado","100%","50%","100%","21.03.2016","21.07.2016","Carranza, Laura","","40.423000","-3.370703"
"Gran Vía 78","","Gran Vía 78/Plaza de España","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","03.03.2014","13.06.2019","Emplazamiento introducido","50%","50%","50%","01.01.2021","31.12.2021","Ramon, Silvia","09.04.2019 Ramon, Silvia (Dev Note): Next works not earlier than 2021","0.000000","0.000000"
"Gran Via 780 / Marina","","Gran Via 780 / Plaza de Toros Monumental","Barcelona","08001","","Andamio","","","","","141,860.24 €","110,000.00 €","20,588.24 €","164,794.01 €","115,237.01 €","C","10.02.2017","06.07.2017","Negociaciones interrumpidas","50%","50%","100%","01.09.2017","31.03.2018","Carranza, Laura","","41.399145","2.181766"
"Gran Vía 7-9","","Gran Vía 7-9","Madrid","00","Gran Vía 7-9","Andamio","","","","","85,500.00 €","75,000.00 €","10,500.00 €","0.00 €","-1,300.00 €","B","19.07.2006","26.09.2008","Perdido ante la competencia","0%","","","26.09.2008","26.09.2008","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 8","","Gran Vía 8","Madrid","28013","","Andamio","","","","","126,888.00 €","110,000.00 €","10,588.00 €","152,204.40 €","38,164.40 €","B","08.05.2012","12.07.2012","Contrato firmado","100%","","","01.08.2012","30.04.2014","Arrogante, Juanjo Martinez","","40.419443","-3.698241"
"Gran Vía 8","","Gran Vía 8","Madrid","28003","Gran Vía 8","Andamio","","","","","226,035.00 €","200,000.00 €","15,916.00 €","241,305.00 €","55,896.60 €","A","17.08.2021","17.08.2021","Emplazamiento introducido","50%","50%","50%","01.10.2021","31.03.2022","Carranza, Laura","","0.000000","0.000000"
"Gran Vía 80","","Gran Vía 80/Plaza España","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-120,300.00 €","A","27.04.2009","10.07.2019","Emplazamiento introducido","50%","50%","50%","01.02.2020","31.12.2020","Ramon, Silvia","09.07.2019 Ramon, Silvia (Dev Note): This site is a proactive approach as there's any forecast to do works in the façade. I contact this sites twice a year, next contact forecasted for september","0.000000","0.000000"
"Gran Via 839 - Rótulo","","Gran Via 839 / Glorias","Barcelona","08001","","Medianera","Balmes 370",".","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","16.09.2015","07.05.2018","Negociaciones interrumpidas","50%","50%","100%","01.06.2016","30.06.2017","Ramon, Silvia","","0.000000","0.000000"
"Gran Via Carles III 125","","Gran Via Carlos III 125","Barcelona","08034","","Medianera","","","","","88,000.00 €","65,000.00 €","23,000.00 €","57,200.00 €","46,450.00 €","C","23.03.2006","18.06.2012","Negociaciones interrumpidas","","","","15.09.2006","02.04.2007","Morata, Rosi","","0.000000","0.000000"
"Gran Via Carlos III 95","","Gran Via Carlos III 95 / Diagonal","Barcelona","08028","","Andamio","FORCADELL","Núria Torres","934965400","n.torres@forcadell.com","157,966.11 €","115,000.00 €","31,694.11 €","136,798.99 €","40,144.99 €","B","15.06.2018","05.03.2019","Contrato firmado","100%","100%","100%","15.04.2019","10.10.2019","Ramon, Silvia","20.02.2019 Ramon, Silvia (Phonecall): we get a verbal agreement. We procced with contract","41.385956","2.126728"
"Gran Vía Marqués del Turia/Ciscar","","Gran Vía Marqués del Turia/Ciscar","Valencia","46005","","Medianera","","","","","5,390.00 €","0.00 €","5,390.00 €","0.00 €","-3,700.00 €","C","24.04.2006","19.06.2012","Negociaciones interrumpidas","","","","01.05.2006","30.06.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía, 220","","Gran Vía 220","Barcelona","08000","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","13.11.2007","19.01.2009","Perdido ante la competencia","","","","04.02.2008","30.04.2008","Morata, Rosi","","0.000000","0.000000"
"Gran Via, 27","","Gran Via, 27","Madrid","28013","Gran Via, 27","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","13.02.2023","14.02.2023","Emplazamiento introducido","50%","50%","75%","01.09.2023","01.09.2024","Aumente, Alfonso","","0.000000","0.000000"
"Gran Via, 27","","Gran Via, 27","Madrid","28013","Gran Via, 27","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","27.09.2022","28.09.2022","Emplazamiento introducido","50%","50%","75%","01.04.2023","31.07.2023","Aumente, Alfonso","","0.000000","0.000000"
"Gran Vía, 318","","Gran Vía, 318 / Junto Plaza España","Barcelona","08000","","Andamio","","","","","84,705.88 €","76,470.59 €","8,235.29 €","55,058.82 €","50,084.82 €","C","06.11.2007","20.11.2008","Contrato firmado","100%","","","12.01.2009","30.04.2009","Morata, Rosi","","0.000000","0.000000"
"Gran Vía, 320","","Gran Vía 320","Barcelona","","Gran Vía 320","Andamio","","","","","78,000.00 €","70,000.00 €","8,000.00 €","50,700.00 €","46,576.00 €","","15.01.2007","29.08.2007","Negociaciones interrumpidas","","","","01.01.0001","01.01.0001","Morata, Rosi","","0.000000","0.000000"
"Gran Vía, 392","","Gran Vía 392","Barcelona","","Gran Vía 392","Andamio","","","","","29,700.00 €","0.00 €","29,700.00 €","0.00 €","-220,000.00 €","","26.06.2006","29.08.2007","Perdido ante la competencia","","","","01.01.0001","01.01.0001","Morata, Rosi","","0.000000","0.000000"
"Gran Via, 44","","Gran Via, 44","Madrid","28013","Gran Via, 44","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","10.02.2023","11.02.2023","Emplazamiento introducido","50%","50%","75%","01.09.2023","31.12.2023","Aumente, Alfonso","","0.000000","0.000000"
"Gran Via, 50","","Gran Via, 50","Madrid","28013","Gran Via, 50","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","28.03.2023","29.03.2023","Emplazamiento introducido","50%","50%","75%","01.09.2023","29.02.2024","Aumente, Alfonso","","0.000000","0.000000"
"Gran Vía, 523","","Gran Vía, 523 / Urgell","Barcelona","08000","Gran Via 523","Andamio","CP GV523","Marc Cabero","678510638","marccabero@gmail.com","71,764.71 €","58,823.53 €","12,941.18 €","42,823.53 €","35,562.53 €","C","16.12.2008","28.09.2009","Contrato firmado","100%","","","01.12.2009","30.04.2010","Ramon, Silvia","","0.000000","0.000000"
"Gran Vía, 65","","Gran Via, 65","Madrid","28013","Gran Via, 65","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","27.09.2022","27.09.2022","Emplazamiento introducido","50%","50%","75%","01.03.2023","30.06.2023","Aumente, Alfonso","","0.000000","0.000000"
"Gran Vía, 664","","Gran Vía, 664","Barcelona","08000","Gran Vía, 664","Andamio","","","","","102,000.00 €","75,000.00 €","27,000.00 €","181,350.00 €","41,300.00 €","C","26.05.2006","29.09.2008","Perdido ante la competencia","","","","01.06.2008","31.12.2008","Morata, Rosi","","0.000000","0.000000"
"Gran Via, 73","","Gran Via, 73","Madrid","28013","Gran Via, 73","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","02.11.2022","03.11.2022","Emplazamiento introducido","50%","50%","75%","01.10.2024","01.10.2025","Aumente, Alfonso","","0.000000","0.000000"
"Gran Via/ San Bernardo 13","","Gran Via/ San Bernardo 13","Madrid","28013","","Andamio","resolution GmbH","Claudia Briele","+49 (0) 221 55 40 05-15","briele@resolutiongmbh.de","155,000.00 €","120,000.00 €","20,000.00 €","560,000.00 €","330,760.00 €","B","09.03.2012","06.02.2020","Negociaciones iniciadas","50%","25%","100%","01.12.2020","31.05.2021","Ramon, Silvia","15.07.2019 Ramon, Silvia (Dev Note): : Works done around 4 years ago with no advertisement because former Administrator did not manage this matter properly. There’s a new administrator, the concierge has collected my card but he didn’t want to give me the infos. While chatting with him, I’ve got the name…. I will do my investigations.. ","40.421774","-3.707911"
"Gran Vía/Montera","","Gran Vía/Montera","Madrid","28013","","Medianera","","","","","151,000.00 €","115,000.00 €","36,000.00 €","271,050.00 €","68,160.00 €","","30.01.2006","25.01.2007","Contrato firmado","","","","01.09.2006","30.04.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía/Montera 2012","","Gran Vía/Montera","Madrid","28012","","Andamio","","","","","213,694.41 €","175,000.00 €","23,529.41 €","326,839.85 €","87,915.85 €","A","07.03.2012","12.05.2014","Negociaciones interrumpidas","75%","0%","0%","01.11.2012","28.02.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gravina 1 / Pl. Castella","","Gravina 1 / Plaza Castella","Barcelona","08001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","23.05.2016","05.09.2016","Negociaciones interrumpidas","75%","100%","100%","24.06.2016","31.07.2016","Ramon, Silvia","","0.000000","0.000000"
"Gravina 11","","Gravina 11 / Chueca","Madrid","28001","","Andamio","","","","","91,829.64 €","70,000.00 €","16,117.64 €","121,235.98 €","89,529.58 €","C","29.07.2016","05.06.2018","Perdido ante la competencia","50%","50%","100%","01.09.2018","28.02.2019","Carranza, Laura","","0.000000","0.000000"
"Gregorio de la Revilla, 21","","Gregorio de la Revilla, 21-Pza.Indautxu","Barcelona","00000","Gregorio de la Revilla, 21-Pza.Indautxu","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","","26.06.2006","09.04.2008","Negociaciones interrumpidas","","","","01.01.2008","31.03.2008","Morata, Rosi","","0.000000","0.000000"
"Hermosilla, 15","","Hermosilla, 15","Madrid","28001","Hermosilla, 15","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","19.07.2023","20.07.2023","Emplazamiento introducido","50%","50%","75%","15.08.2023","30.09.2023","Aumente, Alfonso","","40.253549","3.411143"
"Hernani Kalea 1","","Hernani Kalea 1","San Sebastián","20004","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","18.09.2018","03.10.2018","Negociaciones interrumpidas","50%","50%","75%","01.10.2018","31.03.2019","Ramon, Silvia","","43.321513","-1.984754"
"Hortaleza, 26","","Hortaleza, 26","Madrid","28004","Hortaleza, 26","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","08.03.2023","09.03.2023","Emplazamiento introducido","50%","50%","75%","01.06.2023","31.07.2023","Aumente, Alfonso","","0.000000","0.000000"
"Hospital del mar. Pg Maritim  Barcelonet 25-29","","Hospital del mar","Barcelona","08003","Passeig Maritim de la Barceloneta 25 - 29","Andamio","","","","","168,214.00 €","150,000.00 €","11,200.00 €","177,042.00 €","82,966.78 €","B","01.07.2022","02.07.2022","Emplazamiento introducido","50%","100%","100%","01.09.2022","28.02.2023","Canela, Miguel","","41.000000","2.000000"
"Hospital del mar. Pg Maritim  Barcelonet 25-29","","Copy of Hospital del mar","Barcelona","08003","Passeig Maritim de la Barceloneta 25 - 29","Andamio","","","","","168,214.00 €","150,000.00 €","11,200.00 €","192,342.00 €","77,266.78 €","B","01.07.2022","02.07.2022","Emplazamiento introducido","50%","100%","100%","01.09.2022","28.02.2023","Canela, Miguel","","41.000000","2.000000"
"Hotel Ciutat de Sant Adrià","","Medianera C-31 - Entrada / Salida Bcn St. Adrià","Barcelona","08930","Santa Caterina 38, Sant Adrià del Besos","Medianera","Balmes 370","","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","06.08.2021","15.12.2022","Negociaciones interrumpidas","75%","75%","75%","01.09.2021","30.09.2023","Canela, Miguel","","41.430140","2.221300"
"Humilladero 2","","Humilladero 2/La Latina","Madrid","28005","Humilladero 2","Andamio","","","","","81,500.00 €","70,000.00 €","10,000.00 €","74,600.00 €","27,080.00 €","B","26.03.2015","01.09.2015","Contrato firmado","100%","50%","50%","01.09.2015","30.11.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Imperial 18","","Pza. Mayor/Calle Toledo","Madrid","06","","Andamio","","","","","58,100.00 €","50,000.00 €","6,000.00 €","38,500.00 €","29,940.00 €","C","01.04.2011","09.05.2018","Negociaciones interrumpidas","25%","25%","25%","01.12.2011","31.03.2012","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"JJ Domine 5","","JJ Domine 5","Valencia","46024","","Medianera","","","","","41,000.00 €","30,000.00 €","11,000.00 €","65,650.00 €","16,860.00 €","","17.10.2006","28.02.2007","Negociaciones interrumpidas","","","","01.03.2007","26.02.2007","Morata, Rosi","","0.000000","0.000000"
"Jordi Girona 4-6","","Jordi Girona 4-6","Barcelona","08034","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","10.01.2011","14.02.2012","Negociaciones interrumpidas","75%","","","14.01.2011","30.06.2011","Ramon, Silvia","","0.000000","0.000000"
"Jorge Juan, 36","","Jorge Juan, 36","Madrid","28001","Jorge Juan, 36","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","22.04.2022","23.04.2022","Emplazamiento introducido","50%","50%","75%","01.09.2022","31.12.2022","Aumente, Alfonso","01.12.2022 Aumente, Alfonso (Others): No nos interesa","40.254824","3.395098"
"Jorge Juan, 36","","Jorge Juan, 36","Madrid","28001","Jorge Juan, 36","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","22.04.2022","23.04.2022","Emplazamiento introducido","50%","50%","75%","01.09.2022","31.12.2022","Aumente, Alfonso","01.12.2022 Aumente, Alfonso (Others): No nos interesa","40.254824","3.395098"
"Jose Abascal 16","","Jose Abascal 16","Madrid","28003","Jose Abascal 16","Andamio","Jose Carlos MErino","","666316339","jc.garcia@merinosyf.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","16.12.2020","11.02.2021","Contrato firmado","100%","100%","100%","15.03.2021","16.05.2021","Carranza, Laura","","0.000000","0.000000"
